model,prevalence,repetition,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp
classical_rbf_svm,0.3,91,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,92,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,280,0,0,120
classical_rbf_svm,0.3,93,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280,0,0,120
classical_rbf_svm,0.3,95,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,96,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,280,0,0,120
classical_rbf_svm,0.3,97,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280,0,0,120
classical_rbf_svm,0.3,99,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,10,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,200,0,0,200
classical_rbf_svm,0.5,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,22,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,200,0,0,200
classical_rbf_svm,0.5,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
classical_rbf_svm,0.5,32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,0,0,200
