disease,repeat,fold,budget,model,fit_seconds,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp
Cleveland heart disease,1,5,6,qsvc,0.292039374995511,0.7666666666666667,0.7857142857142857,0.75,0.7333333333333333,0.7586206896551724,0.8794642857142857,0.8527041557482246,24,8,6,22
Cleveland heart disease,2,1,13,classical_rbf_svm,0.002110832996550016,0.8524590163934426,0.7142857142857143,0.9696969696969697,0.9523809523809523,0.8163265306122449,0.9090909090909091,0.8940147713431692,32,1,8,20
Cleveland heart disease,2,1,8,classical_rbf_svm,0.0010871670092456043,0.8360655737704918,0.7142857142857143,0.9393939393939394,0.9090909090909091,0.8,0.9069264069264069,0.8971266351514439,31,2,8,20
Cleveland heart disease,2,1,8,qsvc,0.4547996250039432,0.7868852459016393,0.6785714285714286,0.8787878787878788,0.8260869565217391,0.7450980392156863,0.8354978354978355,0.838086340073036,29,4,9,19
Cleveland heart disease,2,1,6,classical_rbf_svm,0.003077375004068017,0.8524590163934426,0.7142857142857143,0.9696969696969697,0.9523809523809523,0.8163265306122449,0.908008658008658,0.8942817491277731,32,1,8,20
Cleveland heart disease,2,1,6,qsvc,0.3354202920017997,0.7868852459016393,0.6785714285714286,0.8787878787878788,0.8260869565217391,0.7450980392156863,0.8170995670995671,0.8358563144854885,29,4,9,19
Cleveland heart disease,2,2,13,classical_rbf_svm,0.003688999990117736,0.7868852459016393,0.6785714285714286,0.8787878787878788,0.8260869565217391,0.7450980392156863,0.8452380952380952,0.8571124400714856,29,4,9,19
Cleveland heart disease,2,2,8,classical_rbf_svm,0.0010657919920049608,0.7868852459016393,0.7142857142857143,0.8484848484848485,0.8,0.7547169811320755,0.854978354978355,0.8685623927248293,28,5,8,20
Cleveland heart disease,2,2,8,qsvc,0.3713119170133723,0.7540983606557377,0.7142857142857143,0.7878787878787878,0.7407407407407407,0.7272727272727273,0.8268398268398268,0.817371291894899,26,7,8,20
Cleveland heart disease,2,2,6,classical_rbf_svm,0.001196042008814402,0.7213114754098361,0.6071428571428571,0.8181818181818182,0.7391304347826086,0.6666666666666666,0.8084415584415584,0.7956510489457674,27,6,11,17
