model,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,prediction_seconds,budget,repeat,fold,fit_seconds
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9927083333333333,0.9962765957446811,24,0,1,39,0.0924285829969449,6,4,3,0.3162775840028189
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002308330003870651,6,4,4,0.000764833006542176
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.12315549999766517,6,4,4,0.30800108300172724
classical_rbf_svm,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.0002189170045312494,6,4,5,0.0006233750027604401
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.990625,0.9954081632653061,24,0,1,39,0.09354924999934155,6,4,5,0.34071270799904596
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002478330134181306,6,5,1,0.0006387920002453029
qsvc,0.9375,0.975,0.875,0.9285714285714286,0.9512195121951219,0.9875,0.9942307692307694,21,3,1,39,0.14681683300295845,6,5,1,0.2946482919942355
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00024208398826885968,6,5,2,0.0006345419969875365
qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,0.99375,0.9967391304347826,24,0,2,38,0.09897533399634995,6,5,2,0.31181566600571387
classical_rbf_svm,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.0002179999864893034,6,5,3,0.0008409589936491102
qsvc,0.96875,0.975,0.9583333333333334,0.975,0.975,0.9979166666666666,0.9987652439024391,23,1,1,39,0.13557141700584907,6,5,3,0.3162835840048501
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00022120799985714257,6,5,4,0.0007036669994704425
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.09161712499917485,6,5,4,0.3460375419963384
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002192090032622218,6,5,5,0.000645416002953425
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.09387341600086074,6,5,5,0.40739633300108835
classical_rbf_svm,0.953125,0.975,0.9166666666666666,0.9512195121951219,0.9629629629629629,0.9979166666666668,0.9988095238095239,22,2,1,39,0.0002444580022711307,6,6,1,0.0007065000099828467
qsvc,0.953125,0.975,0.9166666666666666,0.9512195121951219,0.9629629629629629,0.9833333333333333,0.9917612570356474,22,2,1,39,0.13818283399450593,6,6,1,0.28950366700883023
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00024787501024547964,6,6,2,0.0006888749921927229
qsvc,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,0.9989583333333334,0.999390243902439,23,1,0,40,0.107017292000819,6,6,2,0.331038250005804
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00021487500634975731,6,6,3,0.0006550830003106967
qsvc,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.12331562500912696,6,6,3,0.2863562499987893
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00021720799850299954,6,6,4,0.0007516250043408945
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.09381562500493601,6,6,4,0.36431837499549147
