fold,stress_seed,missingness_fraction,added_train_cells,added_valid_cells,model,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,prediction_seconds
2,2,0.1,191,46,qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,0.9895833333333334,0.9946138211382114,24,0,2,38,0.10303949999797624
2,2,0.2,382,93,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002976669929921627
2,2,0.2,382,93,qsvc,0.9375,0.9,1.0,1.0,0.9473684210526315,0.9916666666666667,0.9954365079365081,24,0,4,36,0.1590296250069514
3,0,0.0,0,0,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002404589904472232
3,0,0.0,0,0,qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,1.0,1.0,24,0,2,38,0.12050958300824277
3,0,0.05,95,24,classical_rbf_svm,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.00022245799482334405
3,0,0.05,95,24,qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,0.9989583333333334,0.999390243902439,24,0,2,38,0.1404974589968333
3,0,0.1,190,48,classical_rbf_svm,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.00021912499505560845
3,0,0.1,190,48,qsvc,0.9375,0.9,1.0,1.0,0.9473684210526315,0.9916666666666667,0.9952577605321506,24,0,4,36,0.10311354100122117
3,0,0.2,379,96,classical_rbf_svm,0.953125,0.925,1.0,1.0,0.961038961038961,0.978125,0.9913934426229508,24,0,3,37,0.0002618329890538007
3,0,0.2,379,96,qsvc,0.953125,0.925,1.0,1.0,0.961038961038961,0.9760416666666666,0.9894796403472508,24,0,3,37,0.15519883400702383
3,1,0.0,0,0,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00034050000249408185
3,1,0.0,0,0,qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,1.0,1.0,24,0,2,38,0.10418754200509284
3,1,0.05,95,24,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00025804201140999794
3,1,0.05,95,24,qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,1.0,1.0,24,0,2,38,0.16337941700476222
3,1,0.1,190,48,classical_rbf_svm,0.96875,0.95,1.0,1.0,0.9743589743589743,0.9989583333333334,0.999390243902439,24,0,2,38,0.00032758300949353725
3,1,0.1,190,48,qsvc,0.953125,0.925,1.0,1.0,0.961038961038961,0.9760416666666666,0.989806128830519,24,0,3,37,0.11619758400775027
3,1,0.2,379,96,classical_rbf_svm,0.953125,0.925,1.0,1.0,0.961038961038961,1.0,1.0,24,0,3,37,0.00023791698913555592
3,1,0.2,379,96,qsvc,0.9375,0.9,1.0,1.0,0.9473684210526315,0.9854166666666666,0.9919588301769152,24,0,4,36,0.1336402500019176
3,2,0.0,0,0,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00020966700685676187
3,2,0.0,0,0,qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,1.0,1.0,24,0,2,38,0.10246729200298432
